Задача;Исполнители;Наблюдатель;Приоритет;Срок;Где;Теги;Чек-лист
Разрядился дверной замок;Engineer;;;Любое время;;замена расходников, инженерная заявка, электрика;
Открыть/закрыть минибар;RoomService;;Важно;+0д 0ч 30мин;;minibar, заезд гостей;
Incident report;;;Важно;Любое время;;incident, обращения гостей;Incident report
Перегорела лампочка;Engineer;;;Любое время;;замена расходников, инженерная заявка, освещение;
Проверить наличие гостей;HK;FO;;Любое время;;due out, выезд гостей;
Пополнить минибар;RoomService;;;Любое время;;minibar;
Номер выехал;HK;FO;;Любое время;;выезд гостей;
Сейф не закрывается;Engineer;;;Любое время;;инженерная заявка, поломки;
Такси для гостя;Concierge team;;Важно;Любое время;;taxi;
Второе одеяло;HK;;;Любое время;;принести в номер, хаускипинг;
Бокалы под игристое;RoomService;;;Любое время;;обращения гостей, принести в номер;
Подготовить счёт;FO;;;Любое время;;;
Регистрация гостя (бланк);FO;;;Любое время;;;
TV не работает;Engineer, IT;;;Любое время;;TV, электрика;
Проверить минибар;RoomService;;Важно;+0д 0ч 15мин;;minibar, выезд гостей;
Подтекает лейка душа;Engineer;;;Любое время;;инженерная заявка, поломки, сантехника;
Открыть сейф;Engineer;;;Любое время;;инженерная заявка;
Штопор;RoomService;;;Любое время;;обращения гостей, принести в номер;
Опустошить минибар;RoomService;;;Любое время;;minibar;
Заменить картридж в принтере;IT;;;Любое время;;электрика;
Дополнительная кровать;HK;;;Любое время;;заезд гостей, принести в номер, хаускипинг;
Бокалы под виски;RoomService;;;Любое время;;обращения гостей, принести в номер;
Открыть/закрыть окно;Engineer;;;Любое время;;инженерная заявка, обращения гостей;
Кондиционер не работает;Engineer;;;Любое время;;инженерная заявка, кондиционер;
Забытые вещи;HK, FO;;;Любое время;;выезд гостей, оставлены вещи;
Ваза для цветов;HK;;;Любое время;;принести в номер, хаускипинг;
Забрать вещи в прачку;HK;;;Любое время;;обращения гостей, прачечная;
Шумит кондиционер;Engineer;;;+0д 0ч 30мин;;инженерная заявка, кондиционер, обращения гостей;
Холодно в номере;Engineer;;;Любое время;;инженерная заявка, кондиционер, обращения гостей;
Тапочки в номер;HK;;;+0д 0ч 15мин;;обращения гостей, предметы для ванной комнаты, предметы для сна, принести в номер;
Переезд (замена номера);HK, FO;;;Любое время;;переезд гостей;
Амените переставить;RoomService;;;Любое время;;Амените, еда в номер, заезд гостей, принести в номер;
Лёд для бокалов;RoomService;;;+0д 0ч 15мин;;обращения гостей, принести в номер;
Ведро со льдом;RoomService;;;Любое время;;обращения гостей, принести в номер;
Амените забрать из номера;RoomService;;;Любое время;;Амените, еда в номер, заезд гостей, принести в номер;
Второй комплект постельного белья;HK;;;Любое время;;принести в номер, хаускипинг;
Межкомнатная дверь закрыть/открыть;HK;;;Любое время;;обращения гостей, хаускипинг;
Бритвенный набор;HK;;;Любое время;;обращения гостей, принести в номер;
Сетап на 2-х;HK;;;Любое время;;заезд гостей, предметы для ванной комнаты, предметы для сна, хаускипинг;
Замена батареек в пульте;Engineer;;;Любое время;;замена расходников, инженерная заявка;
Заказать трансфер на вокзал;Concierge team;;;Любое время;;taxi;
Подтекает кран;Engineer;;;Любое время;;инженерная заявка, поломки, сантехника;
Бокалы под вино;RoomService;;;Любое время;;обращения гостей, принести в номер;
Жарко в номере;Engineer;;;Любое время;;инженерная заявка, кондиционер, обращения гостей;
Продление;HK, FO;;;Любое время;;продление проживания;
WiFi не работает;IT;;;Любое время;;wifi, электрика;
Амените принести;RoomService;;;Любое время;;Амените, еда в номер, заезд гостей, принести в номер;
Распечатать emergency reports;FO;;;Любое время;;;
Халат в номер;HK;;;Любое время;;ванная комната, обращения гостей, предметы для ванной комнаты, принести в номер;
Утюг и доска;HK;;;Любое время;;обращения гостей, принести в номер, хаускипинг;
Забрать посуду;RoomService;;;Любое время;;еда в номер, обращения гостей, принести в номер;
Неприятный запах в номере (курили);HK, FO;;;Любое время;;важное о госте, выезд гостей, заезд гостей, инспекция, курение, уборки, хаускипинг;
Зубной набор;HK;;;Любое время;;обращения гостей, принести в номер;
Заказать трансфер в аэропорт;Concierge team;;;Любое время;;taxi;
Телефон не работает;IT;;;Любое время;;электрика;
Раковина засор;Engineer;;;Любое время;;инженерная заявка, поломки, сантехника;
Забронировать столик в;Concierge team;;;Любое время;;outside activities, обращения гостей;
Заказать трансфер из аэропорта;Concierge team;;;Любое время;;taxi;
Сетап на 3-х;HK;;;Любое время;;заезд гостей, предметы для ванной комнаты, предметы для сна, хаускипинг;
Унитаз засор;Engineer;;;Любое время;;инженерная заявка, поломки, предметы для сна, сантехника;
Протереть зеркало/стекло;HK;;;Любое время;;уборки, хаускипинг;
Детская кровать;HK;;;Любое время;;заезд гостей, обращения гостей, предметы для сна, принести в номер, хаускипинг;
Адаптер;HK;;;Любое время;;обращения гостей, принести в номер;
Зарядка;HK;;;Любое время;;обращения гостей, принести в номер;
Косметический набор;HK;;;Любое время;;обращения гостей, предметы для ванной комнаты, принести в номер;
Подушка дополнительная;HK;;;Любое время;;обращения гостей, предметы для сна, принести в номер, хаускипинг;
Шампунь;HK;;;Любое время;;обращения гостей, предметы для ванной комнаты, принести в номер, хаускипинг;
Полотенце банное;HK;;;Любое время;;обращения гостей, предметы для ванной комнаты, хаускипинг;
